,price,total_surface,covered_surface,rooms,bathrooms,garages,bedrooms,toilettes,antiquity,zone,zone_label
0,350000,626,177,5,2,0,3,1,10,Nordelta,57
1,398000,207,205,4,4,0,3,0,40,Vicente López,86
2,1300000,400,326,5,2,1,3,0,35,Capital Federal,11
3,799000,972,308,8,4,1,4,0,15,Tigre,82
4,585000,633,340,4,2,0,3,1,25,San Isidro,77
5,550000,1273,425,8,5,0,6,1,35,San Isidro,77
6,440000,1081,231,6,4,0,3,1,1,Villanueva,88
7,495000,600,260,7,4,0,4,0,3,Santa Fe,80
8,395000,517,217,6,4,0,4,1,0,Nordelta,57
9,340000,235,235,4,2,1,3,0,40,Capital Federal,11
10,510000,220,196,0,4,1,3,0,0,Nordelta,57
11,2800000,1750,700,10,8,0,5,1,0,Nordelta,57
12,675000,250,250,5,3,0,3,1,35,Capital Federal,11
13,419000,234,201,4,2,1,3,1,0,Vicente López,86
14,2690000,1422,660,9,6,0,4,1,0,Nordelta,57
15,598000,836,245,5,3,0,3,1,0,Villanueva,88
16,140000,800,180,5,3,0,4,1,0,GBA Norte,26
17,1590000,893,474,8,7,0,4,0,0,Nordelta,57
18,439000,476,188,5,3,1,3,1,3,Nordelta,57
19,1590000,941,388,5,4,0,3,1,11,Nordelta,57
20,450000,586,220,5,3,1,3,1,0,Nordelta,57
21,220000,155,145,5,2,0,2,1,22,Vicente López,86
22,880000,410,300,7,4,1,4,1,15,Capital Federal,11
23,799000,280,280,0,6,0,5,0,0,Nordelta,57
24,320000,502,165,5,3,0,3,1,0,Nordelta,57
25,980000,980,520,0,6,0,4,0,0,Nordelta,57
26,650000,311,281,0,4,0,3,0,8,Villanueva,88
27,400000,300,260,0,4,0,3,0,5,Santa Fe,80
28,298000,140,140,4,3,0,2,1,0,Vicente López,86
29,1600000,900,439,8,5,0,4,0,0,Nordelta,57
30,2000000,2400,400,5,4,0,4,1,0,Rincón de Milberg,68
31,1590000,957,423,10,0,0,4,0,0,Nordelta,57
32,120000,200,130,3,0,1,2,0,40,Avellaneda,2
33,700000,337,270,5,2,1,4,1,35,Capital Federal,11
34,280000,100,100,4,0,1,3,1,40,Vicente López,86
35,420000,175,130,6,4,1,3,1,30,Capital Federal,11
36,760000,335,319,7,3,1,4,0,25,Capital Federal,11
37,1490000,1052,457,8,5,0,4,1,0,Nordelta,57
38,335000,215,148,4,0,1,2,1,30,San Isidro,77
39,498000,300,221,4,4,0,3,0,35,Capital Federal,11
40,2700000,670,610,0,6,0,4,0,1,Nordelta,57
41,225000,310,90,4,2,1,3,0,45,San Isidro,77
42,479000,1015,390,5,5,1,4,0,9,Pilar del Este,61
43,369000,465,160,4,2,1,2,0,45,Vicente López,86
44,440000,208,155,5,3,1,3,1,40,Capital Federal,11
45,598000,526,272,5,4,1,3,1,0,Nordelta,57
46,548000,386,260,5,3,0,4,1,30,Capital Federal,11
47,620000,890,260,5,3,0,3,1,0,Tigre,82
48,2660000,2111,750,6,7,0,5,1,0,Nordelta,57
49,590000,750,320,6,3,0,0,1,10,San Isidro,77
50,427000,916,244,5,3,0,3,1,0,Villanueva,88
51,420000,750,260,5,4,1,4,1,11,Villanueva,88
52,670000,350,350,0,4,0,3,0,10,Pilar,60
53,1300000,853,525,7,3,0,4,1,10,Pilar,60
54,375000,496,196,4,3,0,3,1,0,Nordelta,57
55,1360000,1250,400,7,7,0,4,1,10,Nordelta,57
56,589000,696,221,5,4,0,3,1,0,Nordelta,57
57,680000,1018,245,4,3,0,3,1,10,Nordelta,57
58,620000,704,224,5,3,0,4,1,7,Nordelta,57
59,345000,804,210,0,3,0,3,1,2,Villanueva,88
60,890000,991,338,6,5,0,4,1,2,General Pacheco,29
61,1600000,1210,502,0,7,0,4,0,5,Nordelta,57
62,290000,135,135,6,2,1,3,1,20,Vicente López,86
63,690000,464,283,7,3,1,3,0,40,Capital Federal,11
64,495000,188,130,4,4,1,3,1,7,Capital Federal,11
65,365000,600,175,4,2,0,3,0,3,Pilar,60
66,790000,1073,400,6,4,1,5,0,20,San Isidro,77
67,345000,185,185,6,2,1,3,1,40,San Isidro,77
68,420000,480,196,4,3,0,3,1,0,Nordelta,57
69,1050000,1500,450,5,5,1,4,0,5,Nordelta,57
70,420000,803,230,6,3,0,3,1,0,Villanueva,88
71,490000,600,357,7,3,0,4,0,40,Vicente López,86
72,425000,554,213,5,3,0,3,1,2,Nordelta,57
73,990000,1112,471,8,4,0,4,1,7,Nordelta,57
74,440000,434,417,9,4,0,4,0,25,Santa Fe,80
75,298000,240,165,7,2,0,3,1,30,San Isidro,77
76,490000,550,210,5,3,0,3,1,0,Nordelta,57
77,500000,300,300,4,4,0,3,0,8,Córdoba,14
78,640000,311,260,6,3,1,3,1,1,Capital Federal,11
79,1650000,1093,510,10,5,1,4,1,5,Nordelta,57
80,1380000,869,430,7,5,0,4,0,7,Nordelta,57
81,670000,1160,290,7,3,0,3,1,5,Rincón de Milberg,68
82,236000,144,138,5,3,0,3,1,35,Vicente López,86
83,390000,295,186,4,3,0,3,0,35,San Isidro,77
84,595000,301,296,5,4,0,4,0,15,Capital Federal,11
85,795000,726,426,0,2,0,4,0,37,San Isidro,77
86,440000,272,260,6,3,0,4,0,15,San Isidro,77
87,550000,710,280,5,3,1,4,1,16,Nordelta,57
88,740000,800,310,6,4,1,3,1,11,Nordelta,57
89,1285000,1800,330,6,2,0,3,1,30,Manuel Alberti,45
90,495000,670,253,6,4,0,3,1,8,Nordelta,57
91,780000,693,330,5,3,0,3,1,0,Nordelta,57
92,265000,130,105,5,2,1,3,1,40,Capital Federal,11
93,590000,567,243,6,2,0,3,1,0,Nordelta,57
94,1990000,1034,621,7,8,0,4,1,0,Nordelta,57
95,2150000,600,600,9,3,0,4,1,25,Vicente López,86
96,890000,1251,532,7,6,0,4,1,6,Nordelta,57
97,680000,815,280,5,3,0,4,1,0,El Talar de Pacheco,18
98,75000,415,115,3,2,1,2,0,40,Florencio Varela,25
99,550000,680,300,6,4,0,4,1,10,San Isidro,77
100,570000,634,246,0,3,1,3,0,3,Nordelta,57
101,368000,274,133,4,0,1,2,1,5,San Isidro,77
